bcCEMS	6434
bcFZHW	1973
bcBQGP	1809
bcDUVF	1634
bcDNGM	1574
bcBKFR	1441
bcFPBD	1260
bcGKJN	1220
bcHKIC	1223
bcAODD	1151
bcAOTG	1161
bcBPGO	1389
bcHPYX	1248
bcFERK	1153
bcGHYX	1011
bcGFCI	985
bcCJWV	894
bcHNFL	927
bcDJPZ	892
bcHJZO	686
bcCZPY	775
bcFSHZ	669
bcIFUF	500
bcCOFD	604
bcEOTP	528
bcDBLV	722
bcGNYV	610
bcFRZZ	402
bcBPTC	410
bcFWHF	398
bcHICY	320
bcDOAT	477
bcFIZA	270
bcHDWL	346
bcDWHP	235
bcHTJM	254
bcBEZE	185
bcFXTS	237
bcGKHZ	277
bcEZZV	262
bcGMLR	208
bcBFGK	215
bcBHTJ	116
bcAFJF	228
bcCIOV	155
bcCGIH	171
bcEJOT	129
bcEHKJ	186
bcCOFT	150
bcCBJP	124
bcAAXB	150
bcAAIO	166
bcBHYS	173
bcADCC	178
bcENJY	152
bcFIRB	190
bcCRYY	163
bcCFEP	164
bcDPLT	130
bcHCPX	127
bcFIHK	118
bcCJGQ	156
bcGVKY	155
bcFTWQ	126
bcCIEB	154
bcENBB	147
bcFCXD	164
bcFTXB	128
bcBIGQ	143
bcGJEI	146
bcCXTT	171
bcHTKD	132
bcEIHO	99
bcDVSZ	91
bcGURY	124
bcEQRP	67
bcBKYZ	84
bcHGAZ	141
bcBCQW	104
bcGQXV	144
bcDDZG	156
bcDQXF	125
bcACAW	131
bcGCWV	123
bcECES	65
bcGQZU	92
bcBEHA	130
bcAVNF	116
bcHVBG	70
bcGLIY	128
bcFRPC	100
bcDQDH	148
bcAELL	55
bcERMP	120
bcBNEU	102
bcGCBX	6984
bcCWVA	1943
bcAFBE	1495
bcCFBK	1595
bcHKIS	1557
bcCEBT	1405
bcBPIA	1349
bcAIZH	1293
bcASNE	1340
bcDNPT	1146
bcICGQ	1240
bcCSRE	1246
bcFAKI	1138
bcFDVT	1030
bcBISM	1079
bcHEPI	744
bcACQR	918
bcFSGJ	939
bcBNEI	775
bcCYVN	851
bcBGBU	862
bcCEKC	919
bcBMKR	633
bcBCKU	684
bcGRKV	558
bcEJWG	496
bcFHEF	433
bcEWGB	447
bcIHKO	462
bcAGJR	405
bcFPON	253
bcAXWX	236
bcHIIF	238
bcARWA	213
bcHLJY	162
bcBQVQ	227
bcGBJJ	208
bcAMMV	214
bcFVMW	213
bcBIUK	272
bcAVDG	233
bcEDUC	189
bcABXZ	198
bcHUYV	181
bcFGGL	174
bcBVWX	158
bcCTCG	125
bcCPTB	185
bcAXPT	75
bcGUSG	144
bcGCEY	177
bcAUAA	125
bcCTQO	181
bcACQP	178
bcCITY	161
bcBFFA	181
bcCVFA	169
bcDWLK	143
bcEWKU	157
bcCCBP	153
bcCBSE	121
bcATRA	118
bcBVMS	110
bcGLCC	90
bcEOUI	175
bcBCFI	107
bcEWHF	154
bcDWLB	83
bcBKGB	107
bcFZAI	138
bcBOOD	143
bcGLLG	133
bcDUMG	135
bcGATF	111
bcCRDE	132
bcDRNU	137
bcFFQK	115
bcGRFN	88
bcCSDG	33
bcFYZT	87
bcFNVG	112
bcAGEN	115
bcEANR	108
bcDQMN	136
bcGWTU	107
bcGEBQ	128
bcDBWS	133
bcEEVG	112
bcDKYI	102
bcHLRD	94
bcCOPV	96
bcESGM	116
bcAIIY	106
bcAAKU	138
bcCTMY	91
bcEUER	4901
bcHABQ	1980
bcFCRV	1631
bcEJZO	1815
bcADOH	1638
bcBFEX	1599
bcGGTE	1405
bcCTKS	1356
bcELXO	1181
bcGLFM	1153
bcFCWQ	1363
bcGQLX	1132
bcIIII	1002
bcBXTU	967
bcIFEB	964
bcCXSN	905
bcHCPS	1126
bcFDNR	869
bcFTXC	876
bcAUTX	929
bcBFSM	863
bcDPRT	867
bcCYID	712
bcBFTV	580
bcCIDI	460
bcDCJI	442
bcBYFT	447
bcDNGN	314
bcETCW	264
bcEHAX	255
bcAXBP	323
bcBMWS	223
bcHZZI	263
bcCWDA	233
bcDUCM	195
bcAYTW	324
bcBHYY	170
bcIHBZ	154
bcDPVP	61
bcHBCM	292
bcCWSY	184
bcDWLN	138
bcAULV	151
bcCIPV	203
bcCNQB	99
bcFCGF	119
bcDEGK	246
bcBAAH	180
bcFJAV	216
bcGCPH	204
bcBMNS	160
bcGFRP	158
bcIDQE	155
bcAYED	160
bcCGVS	144
bcGCLA	174
bcHWZT	124
bcESLY	146
bcAXTI	165
bcDWKE	104
bcCJAZ	130
