bcEVCX	19807
bcAAPF	4734
bcHDYJ	3940
bcHEED	3037
bcFPUH	3080
bcFQID	2479
bcFPKI	2451
bcCNWL	1970
bcDWFN	1684
bcAZMY	1923
bcAWEC	2815
bcHLAA	2181
bcGDLN	2617
bcGBLN	1801
bcABRZ	1826
bcEBBH	1725
bcEONO	1736
bcEMRJ	1304
bcGNHX	1275
bcFCXE	1133
bcCZOA	1130
bcAYPQ	1104
bcFSEO	730
bcDHJK	825
bcFQVR	1073
bcBJMM	1077
bcCGGC	883
bcECNL	1009
bcEEEP	731
bcGVMV	701
bcDCQY	741
bcAVIN	536
bcDXGF	785
bcHWDN	629
bcCQYQ	550
bcCCII	660
bcACBE	827
bcHDHT	626
bcBXEY	564
bcBNHM	631
bcDDBC	541
bcCUVW	433
bcFXGH	655
bcDBLE	500
bcHJJN	481
bcEJHQ	234
bcGQJR	273
bcAXNP	475
bcHUQN	505
bcELXZ	509
bcFVON	436
bcBGKP	521
bcESIU	449
bcECKR	562
bcGICX	338
bcAMBE	552
bcANDA	456
bcGLHD	147
bcIHEC	404
bcFRJU	214
bcCHAP	392
bcIHRH	450
bcETQL	460
bcAZDP	358
bcEJZO	451
bcAOLU	154
bcBJFX	412
bcFPPA	386
bcDRFB	404
bcIHFN	358
bcBBVU	439
bcIEZR	401
bcDBOQ	448
bcHCDP	205
bcESAI	283
bcCIWQ	365
bcAUFO	352
bcBIYL	360
bcIHMQ	333
bcBMNO	325
bcCNBS	259
bcESJG	328
bcHDCE	233
bcGPWD	402
bcGQZT	337
bcDHHJ	321
bcDAFL	332
bcGQQE	149
bcESFC	261
bcDQTJ	10
bcFEIY	332
bcGLMF	270
bcESFG	304
bcAULN	254
bcBYQQ	309
bcDBYV	277
bcCIOB	267
bcAMUW	279
bcFVUK	268
bcFQUH	290
bcFAZS	243
bcFVOW	232
bcCABF	308
bcCSVK	282
bcAGYM	285
bcCFBV	238
bcCRQK	210
bcETHU	300
bcEZDJ	320
bcBDZR	207
bcFNMV	277
bcCGAM	302
bcHVXR	254
bcIFUK	206
bcETED	280
bcICRV	283
bcAYPK	202
bcGUUO	245
bcCRES	268
bcCNEW	241
bcEVAU	261
bcIDLO	266
bcBURJ	219
bcGJHZ	215
bcARIR	74
bcGOWL	7
bcAQCJ	233
bcGHJQ	275
bcBJON	203
bcCKLQ	149
bcEJCN	212
bcCDCF	246
bcIEXJ	159
bcBRAJ	219
bcFIKV	173
bcGOFU	206
bcIIHP	155
bcAWTZ	185
bcAZEE	189
bcBVWR	231
bcDZKA	278
bcAEJP	202
bcAQHN	116
bcFOEJ	151
bcGEIS	201
bcCBEK	215
bcDCTO	201
bcEFUW	213
bcCPAT	158
bcFPTE	210
bcCDBN	135
bcHVML	13906
bcAPHW	5182
bcAEID	3079
bcAXQY	3283
bcGJXB	2985
bcIHJI	2068
bcECSE	3098
bcDDOU	2944
bcCVYJ	2156
bcIHDY	1998
bcAIIW	1971
bcHCSJ	2236
bcFMLE	1673
bcEYQM	1089
bcDLWP	1443
bcBFOR	1772
bcGSFB	1525
bcCEGF	1466
bcGQEO	1795
bcGPKK	1243
bcAIYM	1233
bcDJXP	1170
bcHSDE	1087
bcBWJV	1200
bcFISU	1047
bcCJIG	874
bcDEXK	1145
bcCWZI	829
bcAWTI	936
bcBUPB	926
bcCUPD	783
bcBCWQ	693
bcCUKR	140
bcHQVW	655
bcCIUP	671
bcECQV	729
bcAWQH	685
bcAKLK	746
bcANLR	625
bcGGBE	481
bcEGBV	526
bcFQDE	582
bcCVLY	393
bcFPFX	587
bcIGUQ	567
bcDWUH	461
bcHSIY	436
bcERIR	482
bcBAJM	541
bcAEZY	370
bcBKFA	456
bcFPQR	542
bcICHN	524
bcFUHU	468
bcHSUT	372
bcFZYW	481
bcERUL	427
bcAYGS	418
bcAKRU	435
bcFOQO	434
bcHBHK	506
bcAREC	446
bcGMIE	495
bcCMTJ	455
bcCDLJ	419
bcARPY	351
bcBHVD	294
bcEUDQ	366
bcGKBF	357
bcDIUE	335
bcHDCG	326
bcENZR	389
bcBLVK	332
bcCRYK	295
bcDKBN	393
bcAFCM	392
bcAZHP	183
bcFBFH	348
bcDWWC	266
bcCFTI	346
bcDRBC	380
bcFUOP	311
bcGAPS	305
bcDNRU	311
bcHMZZ	307
bcGAPI	308
bcGGSE	225
bcDURS	330
bcBOAB	208
bcBZTH	346
bcCNDX	260
bcAVKS	333
bcFFZO	314
bcCIHS	359
bcHEIQ	298
bcBDKQ	351
bcFROX	203
bcHJYD	278
bcFTPC	259
bcAQFA	222
bcAXQF	341
bcEDNM	307
bcHEUQ	258
bcELUX	220
bcFFZX	330
bcAQUS	235
bcESSK	322
bcHAIL	263
bcDQAY	230
bcFUIB	272
bcDMRF	317
bcGSIZ	243
bcAFNM	278
bcDZJE	190
bcHMSF	161
bcEGDO	217
bcHFUN	321
bcCMMG	240
bcHRDU	186
bcATYR	245
bcDBIA	263
bcGNES	225
bcDHYL	229
bcCWZN	240
bcCVXH	167
bcHTLJ	248
bcDGOR	239
bcEAAY	210
bcHERE	182
bcARME	229
bcEZBV	268
bcEQTH	222
bcFPPX	202
bcFVXE	95
bcDDPN	209
bcEUOH	156
bcBDMG	212
bcAAJO	244
bcGUWC	201
bcFHFO	204
bcHWKN	128
bcFYSC	225
bcHMKY	225
bcBUJA	207
bcAXRF	228
bcHBSI	198
bcFDLY	172
bcFNKG	172
bcIHZG	172
bcFGAS	176
bcBNXK	227
bcAZNM	1537
bcEGBG	3836
bcDNWG	4071
bcANKX	2492
bcATQT	3009
bcIKDA	2252
bcCAQN	2500
bcGICW	2341
bcAKSC	2699
bcBWKA	1626
bcEKYG	1873
bcFKTN	1678
bcEWRA	1878
bcIDUM	1709
bcFRZQ	1430
bcEJZZ	1509
bcHYZV	1380
bcAMBC	1471
bcAALZ	1594
bcCSBX	1417
bcFHCA	1340
bcCQZX	1065
bcCGAX	1129
bcENIN	1020
bcBDWD	1067
bcBBLE	934
bcBVNC	971
bcCNPN	598
bcCTHB	855
bcHPKN	867
bcEUZB	604
bcEFWZ	373
bcHKPN	831
bcIBOM	622
bcANRC	603
bcCOVY	393
bcERVI	531
bcASGV	545
bcDQVJ	438
bcHDWZ	650
bcEHKC	632
bcAJQO	629
bcEGWE	443
bcBHYD	563
bcDPYP	553
bcAQLM	546
bcAFYH	176
bcCDSP	530
bcARFN	507
bcCNXF	351
bcEAGU	467
bcELFB	431
bcCLAX	480
bcAWYQ	403
bcEHOY	367
bcHMOC	324
bcFUYF	437
bcHWWY	333
bcFDIR	443
bcHIYR	278
bcDNUE	486
bcEZZM	354
bcGUOE	351
bcIBFB	390
bcCVQF	369
bcAFGN	438
bcCULL	262
bcCEVB	455
bcIEYM	428
bcETYJ	344
bcGHQM	429
bcFNVT	396
bcBBPW	342
bcAILC	269
bcBUUU	352
bcDBTH	406
bcCZYE	349
bcHURV	340
bcAKMB	355
bcDNBG	419
bcHSBZ	341
bcFJTT	407
bcCVVM	323
bcCEMT	267
bcGIYL	319
bcFCQS	317
bcDHDT	361
bcCLUM	373
bcHGUF	407
bcHNTM	337
bcHXAF	221
bcEJXT	332
bcHUKX	239
bcCNJK	280
bcAFZI	315
bcCLXG	344
bcIAGE	160
bcDSBP	327
bcFJVQ	317
bcDPIS	273
bcFLGW	273
bcAOTE	275
bcDLIG	283
bcHWRR	225
bcBALA	275
bcFABL	290
bcETSK	291
bcANYP	224
bcEQTJ	273
bcACZD	219
bcDPXE	271
bcHGUH	281
bcDMUO	235
bcHQGI	236
bcDENJ	276
bcAEBA	277
bcBUAC	245
bcGENN	199
bcENND	237
bcEKDA	233
bcCCVQ	248
bcBPQT	224
bcGMJT	219
bcGOPM	221
bcDBWI	223
bcEATP	209
bcHNZU	221
bcGZWD	239
bcAGFM	170
bcDNUI	225
bcGYJR	224
bcFSBN	226
bcDBLJ	254
bcHAZE	264
bcGWKK	256
bcADDU	204
bcAMWU	232
bcFSCS	200
bcDRWF	212
bcDBYO	257
bcDWVJ	190
bcFBBV	229
bcHXBK	138
bcDKFV	190
bcEDTG	270
bcABVH	240
bcGFWK	152
bcAPAG	214
bcDRZO	187
bcAWMO	182
bcABTV	233
bcHBMJ	9582
bcARZM	3883
bcCMFH	3347
bcGXVS	2380
bcEBTU	2822
bcIJIH	2759
bcDNIL	2577
bcGJII	2140
bcGBEG	2051
bcFSEK	2882
bcBXVN	2145
bcEMYP	2340
bcGSZW	1537
bcAIQE	1825
bcIGUP	1324
bcEBQS	1580
bcETSA	1518
bcFSIH	1546
bcEXGA	1253
bcDBMD	1466
bcAHLK	1222
bcBFVQ	1031
bcDTVA	913
bcDYEC	1139
bcEASA	1409
bcBVKQ	975
bcEDAW	948
bcANXT	880
bcDNDQ	192
bcAUXW	837
bcCNNY	553
bcEIBP	743
bcHLAL	679
bcCZOH	539
bcCOYO	653
bcEFFB	498
bcGWPQ	666
bcAHEF	679
bcCNDI	531
bcEJBY	559
bcDBZU	602
bcHCMR	597
bcCCLG	574
bcHATO	427
bcBPMP	632
bcBUES	621
bcBUZG	581
bcCHSD	566
bcGYAB	395
bcHRDB	492
bcBEZT	533
bcFTWU	469
bcGYYL	382
bcANUH	462
bcBHUW	405
bcIHDM	412
bcCDPG	488
bcGCRT	525
bcDRXM	411
bcFYPP	527
bcBAPC	335
bcFNNC	452
bcHHXQ	455
bcCVUJ	381
bcAZXK	431
bcDBFW	266
bcBLIL	272
bcFKPN	351
bcCZWK	417
bcETVJ	383
bcGBDC	386
bcBFGV	413
bcBASQ	377
bcIAPZ	406
bcEJMO	372
bcGDSB	5
bcIFIO	223
bcHEAA	342
bcAKEC	295
bcHYCW	360
bcHABZ	325
bcDDTS	355
bcDCYG	263
bcGWKX	305
bcGYZO	287
bcHFZU	353
bcFVSD	227
bcETRN	350
bcCSEH	273
bcIIAW	298
bcGFGT	329
bcBCKU	320
bcGRBV	195
bcEMIT	321
bcDADC	316
bcIILB	226
bcATUT	269
bcHNMV	248
bcBMIC	108
bcEVLN	276
bcBCPA	260
bcCRGC	301
bcFIJR	233
bcHVRZ	235
bcBGPT	31
bcFOHL	307
bcBYWV	268
bcGKBZ	280
bcGJGO	295
bcDGVA	289
bcDPPR	252
bcDINK	253
bcCNAC	186
bcHUHT	4
bcDUZN	259
bcCGIR	212
bcERSD	237
bcIDQJ	213
bcGKFV	258
bcCODW	217
bcBMAW	231
bcGMZA	112
bcAEES	123
bcBNQP	257
bcHICG	237
bcBNLU	263
bcBOGX	223
bcCTIF	191
bcCVDI	186
bcDBME	256
bcABOR	206
bcHOQC	218
bcBDBG	265
bcHFKN	231
bcHRVO	159
bcBQSV	228
bcGKCH	202
bcEQHQ	128
bcCAKK	193
bcEHFH	191
bcGKMR	189
bcEWOE	257
bcHFTI	208
bcGBZL	204
bcEDMC	238
bcGLMP	203
bcEGII	191
bcBEZA	180
bcCBNF	174
bcCRBG	145
bcGJDH	199
bcHHXU	14925
bcDGIX	4363
bcFEMS	3589
bcFVAS	3132
bcHYBE	2383
bcANRH	2491
bcFXPA	2014
bcECKL	2287
bcBQLN	1938
bcFHMY	2541
bcHELA	1821
bcAOUN	2065
bcDLKO	1766
bcGBHM	1300
bcEWMM	1850
bcCMFE	1686
bcHIBZ	2029
bcGEFT	1248
bcBZQE	1267
bcCFBA	1413
bcGCOT	1197
bcGHVI	1008
bcBWRK	986
bcBWPK	673
bcGPLD	902
bcBWUF	709
bcCZPO	944
bcCJDR	772
bcCCKU	578
bcBALY	674
bcCYLJ	571
bcGKFC	715
bcBZLB	670
bcBHWV	683
bcCHMU	670
bcAMHA	752
bcFVRI	639
bcDOBI	760
bcCIEN	468
bcHCBU	649
bcFSEZ	613
bcGCBB	492
bcFUHD	396
bcDJMI	534
bcGDJN	459
bcGFUX	442
bcFYYX	435
bcERWI	547
bcDSWO	669
bcEHUC	385
bcIHPH	432
bcBRKN	477
bcAGWW	434
bcAIOW	388
bcEYDM	509
bcCDXD	472
bcAGCG	453
bcACQN	363
bcDYYG	451
bcDYVM	391
bcAGWX	472
bcELXG	496
bcFORF	374
bcDDWO	464
bcBRAI	390
bcHHMV	485
bcHNHF	415
bcHTQU	396
bcFAKI	377
bcEOLY	453
bcGNJF	401
bcCUSG	436
bcHBPM	463
bcFSLL	381
bcFPXY	345
bcARQW	363
bcHBAC	376
bcDWAE	283
bcHKIA	327
bcGUPB	400
bcAHLE	368
bcFAEX	356
bcIATB	316
bcFGAZ	407
bcDGKT	339
bcFLFU	425
bcDRFL	368
bcAMAZ	331
bcCTYF	303
bcGQBC	362
bcCNNG	244
bcGYJD	298
bcHIEF	169
bcENMS	279
bcFNVY	347
bcBAZX	213
bcGUVG	284
bcAGHW	333
bcFXEZ	227
bcEGJC	321
bcEXWT	332
bcCGGL	308
bcDENX	342
bcDMHY	273
bcFYPW	246
bcAOHA	246
bcGGNH	261
bcCBLN	249
bcIDFE	224
bcGPPR	309
bcHHRS	172
bcDUTT	218
bcBWFR	273
bcCCFS	236
bcDNPE	299
bcDLUR	229
bcHWXF	196
bcBLWF	203
bcDRLE	255
bcACGC	269
bcBAFB	258
bcDUCJ	274
bcEGCX	224
bcGFHP	234
bcCTAK	272
bcCMEE	233
bcCLAF	208
bcIHOP	155
bcFHGG	233
bcDWHN	134
bcBKFC	233
bcAKZW	215
bcALIP	239
bcIJEY	224
bcHGBJ	239
bcAPWY	222
bcCMUL	191
bcCMWY	105
bcFOJC	229
bcCJQM	182
bcDITB	190
bcCQAG	64
bcDPLP	184
bcBVAT	148
bcIAMA	207
bcDYVC	167
bcHTXD	165
bcIENM	235
bcBFCI	195
bcFYVM	191
bcEGYU	173
bcCWHH	5939
bcCNLE	3947
bcHFSO	3827
bcCPOI	2945
bcFGBW	3435
bcBAKQ	2835
bcHELU	1988
bcAXCY	1912
bcCSNQ	2098
bcGAZO	2191
bcFEOP	2030
bcEFWG	1816
bcEZQH	1993
bcGFYE	1454
bcCEFF	1683
bcBJWM	1982
bcCDSS	1562
bcHKLP	1525
bcEVFB	1338
bcBZHW	1332
bcENVM	1306
bcBQUC	1307
bcHUJV	893
bcBIEC	945
bcAILA	1099
bcDJYX	980
bcAWVR	734
bcGFID	968
bcBTDG	828
bcBDCS	638
bcDKUI	829
bcHYZP	638
bcASGN	651
bcAPCB	591
bcHLEE	455
bcCYKC	485
bcHRKJ	520
bcAZLA	466
bcDQQK	397
bcCWDF	516
bcFBTP	691
bcBXJR	599
bcEECV	536
bcFIEE	560
bcAQYB	409
bcGUVZ	509
bcASLL	538
bcHAAI	371
bcBWTT	403
bcGGXM	424
bcAIII	508
bcCCEP	420
bcCOXN	495
bcGODO	501
bcENKZ	427
bcALVR	384
bcBNJJ	474
bcHTFA	453
bcBWTE	172
bcCNLM	456
bcEYAK	464
bcCSJG	422
bcBPPM	462
bcEWLS	457
bcDIUA	410
bcCVRG	296
bcESHU	361
bcCVIU	346
bcCFMO	354
bcIANB	320
bcFMDE	335
bcDPWM	345
bcHIFQ	450
bcHMNO	321
bcDTRT	300
bcEFXY	354
bcBRQG	320
bcDJWI	350
bcCTSH	384
bcFBDZ	377
bcDRLH	389
bcEWNB	322
bcFLDJ	108
bcHLVD	369
bcBLKN	268
bcHXUB	379
bcBNMI	239
bcAKVV	322
bcHUBK	305
bcAZOZ	363
bcFLBK	387
bcGOKR	260
bcCZNC	225
bcBFTW	308
bcDEUX	333
bcDIWP	212
bcHYEW	297
bcDFIY	297
bcHFEP	307
bcCNKT	251
bcBJSR	293
bcBZZZ	283
bcGJAA	191
bcDFHU	273
bcCJOW	282
bcGZAF	199
bcHTMK	239
bcBAFW	276
bcBXNI	282
bcAEKE	255
bcDELD	277
bcHCOL	261
bcAALR	14
bcHKMG	244
bcDTMY	290
bcGELQ	228
bcCPXT	215
bcCBBC	267
bcADBI	243
bcAWAI	253
bcHCNO	177
bcDBOY	267
bcCJCE	163
bcDHFB	205
bcAVIK	253
bcDSJN	255
bcAAMQ	252
bcHNQB	264
bcGNSB	235
bcBLFF	206
bcAYLI	225
bcHVCN	189
bcBFFH	200
bcFGZC	231
bcFYXH	223
bcGRLK	224
bcFPCM	113
bcFPML	240
bcHAFU	214
bcDRXN	164
bcFIDG	174
bcAWFL	225
bcCSWK	191
bcGVSK	232
bcIBBR	178
bcEZOJ	194
bcDIZX	158
bcCEIR	196
bcECQZ	193
bcETOD	179
bcHPLF	172
bcFAMX	7541
bcFJZY	3544
bcDWDQ	3114
bcDQRS	3526
bcCPJY	4022
bcBLZI	2462
bcGJGX	2994
bcBQOJ	2383
bcCOEN	2392
bcGXWM	1829
bcBFQL	1851
bcESSU	2063
bcFWOL	2063
bcAFLH	1665
bcHTLV	1489
bcBUAK	1618
bcDBAY	1784
bcAAUO	1425
bcBGSJ	1548
bcHLFQ	1211
bcEMYC	1344
bcARCA	1071
bcALOD	928
bcFIAE	1021
bcAZGU	722
bcBEZQ	645
bcCWHR	524
bcCTLI	1003
bcCUVF	923
bcAQQA	778
bcCWFD	505
bcIIGP	646
bcGTWG	690
bcCFSD	641
bcFFHK	613
bcEFTX	625
bcGVQT	621
bcCQZQ	389
bcHSMG	648
bcHFZD	642
bcBYPB	614
bcFLXQ	546
bcGXWG	430
bcBAPB	418
bcBCCI	132
bcIBLY	414
bcBGRA	635
bcCJTM	539
bcDSXK	534
bcANES	600
bcIHDR	468
bcHHXJ	475
bcCVNA	340
bcIGLY	460
bcHUTV	436
bcFSZP	498
bcBBOT	478
bcCPBN	500
bcEMBM	498
bcGNQQ	521
bcAZRA	490
bcCPDK	467
bcBWQS	269
bcCNMF	296
bcCVTG	356
bcHNUK	424
bcGSRZ	426
bcEPTL	480
bcHTCI	424
bcCVRB	209
bcIIXL	293
bcAGUR	341
bcHRPO	366
bcAQXR	342
bcBCXW	390
bcGYAT	188
bcEEKW	392
bcHGMX	336
bcAJAU	279
bcHWMS	263
bcEZAC	308
bcEZMO	413
bcEDTI	349
bcBLKR	210
bcGGZH	247
bcBTOS	317
bcHZCN	210
bcGEYX	330
bcBUEC	337
bcGTBJ	389
bcCTUD	336
bcBUBP	303
