bcHULF	24812
bcALWN	5438
bcIJHU	4535
bcDMBD	4415
bcATWC	3262
bcDXSK	3871
bcGGJO	3533
bcHSBT	3387
bcHRTT	3806
bcHGQK	2585
bcEOWF	2669
bcDEVL	2674
bcBPGV	3347
bcCQVQ	2264
bcARLE	2771
bcCYCV	2717
bcBFVF	2363
bcDNNI	2437
bcDUFS	2076
bcEZIB	2286
bcCABR	2359
bcHOYX	1951
bcCYPF	1678
bcGDHM	1306
bcHTDF	1199
bcDJTM	1179
bcHCXK	1706
bcCFDZ	1262
bcAJNL	1164
bcFVNH	1212
bcAQNK	1143
bcDABM	1321
bcGOJG	1175
bcBEXU	1037
bcGJXU	871
bcHCTA	1001
bcADEK	816
bcBCKH	772
bcAKLV	1035
bcAYKJ	818
bcBDBS	756
bcCBFI	882
bcBKHF	784
bcEWDZ	902
bcEVMC	823
bcBUQW	830
bcFXAT	816
bcGVTR	548
bcBKPG	750
bcGUXU	311
bcEUGP	676
bcDOCK	684
bcCYKD	621
bcIJKQ	662
bcCQKB	824
bcAHVD	648
bcCPTU	593
bcGXWR	477
bcCMIO	763
bcGRGV	707
bcBMGX	610
bcGPYE	595
bcAHWL	610
bcEZRD	572
bcGGRP	493
bcCFWW	552
bcEBEF	502
bcARBK	608
bcBWCC	556
bcAJJI	410
bcHBUR	468
bcECOE	590
bcBODT	542
bcDDKI	487
bcDWYM	413
bcCRLL	554
bcHBVQ	520
bcFECS	317
bcCPWX	491
bcCANX	482
bcELDT	509
bcDDMN	346
bcBNQD	490
bcIGBL	433
bcDWQN	442
bcIAYZ	467
bcCYXC	446
bcDFHU	434
bcAQAQ	434
bcCZOH	385
bcIADS	424
bcEALI	424
bcBUII	467
bcHWCX	347
bcDIXA	448
bcFTNX	420
bcHKJR	456
bcGVEE	368
bcEIWO	404
bcDZOC	457
bcHPDI	316
bcFTKC	384
bcDRHD	19
bcFPSX	418
bcCOKM	457
bcEWIW	428
bcABKF	358
bcHKZS	430
bcIAFJ	354
bcDNUS	466
bcCXNZ	315
bcHLKJ	436
bcDBJH	399
bcHWPM	318
bcBMPP	335
bcHPOX	399
bcCKXX	365
bcBHOU	333
bcGJDR	356
bcADBZ	341
bcCXZD	382
bcEWNP	378
bcCUNY	383
bcFQSS	381
bcHLXL	344
bcBXWF	359
bcEKPW	315
bcCLOU	329
bcEFAV	391
bcCQFE	226
bcBIII	349
bcCZDN	8
bcDUHU	307
bcCQCE	339
bcIICF	294
bcHFXB	349
bcBTLM	285
bcFDVM	298
bcHUUV	288
bcAIKQ	329
bcGBDE	329
bcBNGF	339
bcGPLW	325
bcGIPR	325
bcABPM	312
bcCZWJ	281
bcGQCB	269
bcCADT	297
bcHVYI	248
bcEPGT	324
bcFJCZ	303
bcIGYW	267
bcDQZY	277
bcAZIU	262
bcHORF	268
bcDBVM	330
bcFSXX	283
bcFXJG	232
bcBKJB	280
bcDCDF	291
bcDRBZ	286
bcBSXF	244
bcEPYG	223
bcBQSE	266
bcDAXB	240
bcCQBA	218
bcETSM	271
bcBOBP	247
bcFDVH	229
bcIGWP	242
bcFGFF	280
bcEYWC	54
bcFGBP	277
bcDGWI	262
bcGBMP	236
bcBLWD	250
bcEQSO	237
bcDAJM	271
bcAPQO	226
bcGQBJ	248
bcIGHO	234
bcDYKK	245
bcCSTZ	238
bcHDXI	262
bcCQYM	226
bcEMLW	264
bcGLXY	215
bcEXJY	240
bcHGYQ	187
bcBUFI	211
bcAJDI	222
bcGKQT	207
bcARNI	129
bcGSJG	203
bcAHAG	211
bcHCVZ	203
bcATFT	169
bcBJEY	175
bcFMNX	228
bcBJAH	188
bcCFWZ	191
bcAZPR	203
bcFDXS	185
bcCIOD	21292
bcHAJG	5550
bcCWFG	4074
bcDGLT	4382
bcCFFZ	3655
bcAIWY	3087
bcAEND	3789
bcHKFJ	3660
bcEHRT	3218
bcDCAY	2882
bcBVPY	3017
bcABVI	5151
bcGHFD	3083
bcBJWK	2349
bcEYFY	4031
bcBZUT	2666
bcHFMA	2900
bcENSC	2376
bcAUFI	2431
bcEDBX	1712
bcDDHM	1795
bcFCFH	1905
bcGZZS	1504
bcIHFA	1298
bcFIPQ	1219
bcGUYU	1433
bcBWII	1444
bcGGQY	1219
bcDCCO	1351
bcAMYP	34
bcGDOT	765
bcCVUK	1074
bcDMDU	1028
bcGCYN	953
bcBTZW	623
bcEBWK	708
bcCSTJ	747
bcFTJK	907
bcBCSI	591
bcFDCT	923
bcIISY	646
bcBJEH	592
bcCVQV	717
bcIAZS	754
bcERYH	841
bcBLCL	627
bcFIFB	731
bcBQWZ	720
bcGQWP	567
bcCZTX	681
